Tick,Evento,Tipo de Comercio,ID Pedido
69,Se empezó a elaborar el pedido,farmacia,28
69,Finalizó el envío del pedido,farmacia,19
69,Entró el pedido al sistema,restaurante,30
69,Se Termino de elaborar el pedido,farmacia,28
71,Entró el pedido al sistema,restaurante,31
72,Se asignó el rapartidor,restaurante,21
73,Se Termino de elaborar el pedido,restaurante,14
73,Se empezó a elaborar el pedido,restaurante,16
73,Comenzó el envio del pedido,restaurante,14
74,Entró el pedido al sistema,restaurante,32
75,Se empezó a elaborar el pedido,restaurante,32
76,Se Termino de elaborar el pedido,restaurante,15
76,Se asignó el rapartidor,farmacia,28
76,Se empezó a elaborar el pedido,restaurante,30
76,Comenzó el envio del pedido,restaurante,15
77,Entró el pedido al sistema,farmacia,33
77,Se Termino de elaborar el pedido,restaurante,22
77,Comenzó el envio del pedido,farmacia,28
77,Finalizó el envío del pedido,restaurante,8
77,Se empezó a elaborar el pedido,restaurante,29
77,Comenzó el envio del pedido,restaurante,22
78,Entró el pedido al sistema,restaurante,34
78,Se empezó a elaborar el pedido,farmacia,33
78,Se asignó el rapartidor,restaurante,24
78,Se Termino de elaborar el pedido,farmacia,33
82,Entró el pedido al sistema,almacen,35
82,Entró el pedido al sistema,restaurante,36
83,Se empezó a elaborar el pedido,almacen,35
83,Se empezó a elaborar el pedido,restaurante,36
83,Se asignó el rapartidor,farmacia,33
83,Se Termino de elaborar el pedido,almacen,35
84,Entró el pedido al sistema,restaurante,37
84,Comenzó el envio del pedido,farmacia,33
84,Se asignó el rapartidor,almacen,35
84,Finalizó el envío del pedido,farmacia,27
85,Se Termino de elaborar el pedido,restaurante,20
85,Se empezó a elaborar el pedido,restaurante,37
85,Comenzó el envio del pedido,almacen,35
85,Finalizó el envío del pedido,farmacia,28
85,Se empezó a elaborar el pedido,restaurante,31
85,Comenzó el envio del pedido,restaurante,20
87,Se Termino de elaborar el pedido,restaurante,21
87,Entró el pedido al sistema,farmacia,38
87,Se asignó el rapartidor,restaurante,31
87,Comenzó el envio del pedido,restaurante,21
88,Finalizó el envío del pedido,farmacia,33
89,Entró el pedido al sistema,restaurante,39
89,Se Termino de elaborar el pedido,restaurante,24
89,Se empezó a elaborar el pedido,farmacia,38
89,Finalizó el envío del pedido,restaurante,15
89,Finalizó el envío del pedido,almacen,35
89,Finalizó el envío del pedido,restaurante,14
89,Se empezó a elaborar el pedido,restaurante,26
89,Se Termino de elaborar el pedido,farmacia,38
89,Comenzó el envio del pedido,restaurante,24
90,Entró el pedido al sistema,restaurante,40
90,Se Termino de elaborar el pedido,restaurante,25
90,Se empezó a elaborar el pedido,restaurante,39
90,Finalizó el envío del pedido,restaurante,20
90,Comenzó el envio del pedido,restaurante,25
91,Se empezó a elaborar el pedido,restaurante,40
93,Entró el pedido al sistema,restaurante,41
94,Se Termino de elaborar el pedido,restaurante,23
94,Se asignó el rapartidor,farmacia,38
94,Comenzó el envio del pedido,restaurante,23
95,Comenzó el envio del pedido,farmacia,38
95,Se asignó el rapartidor,restaurante,29
96,Entró el pedido al sistema,restaurante,42
96,Se asignó el rapartidor,restaurante,34
96,Finalizó el envío del pedido,restaurante,22
97,Se empezó a elaborar el pedido,restaurante,42
97,Se asignó el rapartidor,restaurante,32
98,Entró el pedido al sistema,restaurante,43
98,Se Termino de elaborar el pedido,restaurante,32
98,Comenzó el envio del pedido,restaurante,32
100,Finalizó el envío del pedido,restaurante,25
101,Entró el pedido al sistema,restaurante,44
101,Finalizó el envío del pedido,restaurante,23
103,Entró el pedido al sistema,restaurante,45
103,Se asignó el rapartidor,restaurante,30
104,Finalizó el envío del pedido,restaurante,24
104,Finalizó el envío del pedido,farmacia,38
105,Entró el pedido al sistema,restaurante,46
105,Se asignó el rapartidor,restaurante,36
106,Entró el pedido al sistema,restaurante,47
106,Se empezó a elaborar el pedido,restaurante,46
106,Se asignó el rapartidor,restaurante,44
106,Finalizó el envío del pedido,restaurante,21
107,Se empezó a elaborar el pedido,restaurante,47
109,Entró el pedido al sistema,restaurante,48
110,Se empezó a elaborar el pedido,restaurante,48
110,Se Termino de elaborar el pedido,restaurante,16
110,Se asignó el rapartidor,restaurante,47
110,Comenzó el envio del pedido,restaurante,16
111,Se asignó el rapartidor,restaurante,37
112,Se Termino de elaborar el pedido,restaurante,29
112,Se empezó a elaborar el pedido,restaurante,43
112,Comenzó el envio del pedido,restaurante,29
113,Finalizó el envío del pedido,restaurante,32
114,Entró el pedido al sistema,restaurante,49
115,Se asignó el rapartidor,restaurante,43
116,Se asignó el rapartidor,restaurante,39
117,Finalizó el envío del pedido,restaurante,16
118,Entró el pedido al sistema,restaurante,50
120,Se Termino de elaborar el pedido,restaurante,30
120,Se asignó el rapartidor,restaurante,45
120,Comenzó el envio del pedido,restaurante,30
121,Entró el pedido al sistema,restaurante,51
123,Se Termino de elaborar el pedido,restaurante,37
123,Se empezó a elaborar el pedido,restaurante,45
123,Comenzó el envio del pedido,restaurante,37
124,Se Termino de elaborar el pedido,restaurante,36
124,Se Termino de elaborar el pedido,restaurante,47
124,Se empezó a elaborar el pedido,restaurante,51
124,Comenzó el envio del pedido,restaurante,47
124,Comenzó el envio del pedido,restaurante,36
126,Se asignó el rapartidor,restaurante,41
126,Entró el pedido al sistema,restaurante,52
126,Se Termino de elaborar el pedido,restaurante,26
126,Se empezó a elaborar el pedido,restaurante,34
126,Comenzó el envio del pedido,restaurante,26
127,Se empezó a elaborar el pedido,restaurante,52
127,Se asignó el rapartidor,restaurante,49
127,Finalizó el envío del pedido,restaurante,29
128,Se Termino de elaborar el pedido,restaurante,31
128,Se Termino de elaborar el pedido,restaurante,39
128,Se Termino de elaborar el pedido,restaurante,40
128,Se Termino de elaborar el pedido,restaurante,46
128,Se empezó a elaborar el pedido,restaurante,44
128,Comenzó el envio del pedido,restaurante,31
128,Se empezó a elaborar el pedido,restaurante,41
128,Comenzó el envio del pedido,restaurante,39
128,Comenzó el envio del pedido,restaurante,40
129,Se asignó el rapartidor,restaurante,40
129,Entró el pedido al sistema,almacen,53
129,Finalizó el envío del pedido,restaurante,47
129,Se empezó a elaborar el pedido,almacen,53
129,Se Termino de elaborar el pedido,almacen,53
132,Entró el pedido al sistema,almacen,54
133,Se empezó a elaborar el pedido,almacen,54
133,Se Termino de elaborar el pedido,restaurante,48
133,Se Termino de elaborar el pedido,almacen,54
135,Entró el pedido al sistema,restaurante,55
135,Se asignó el rapartidor,almacen,53
135,Finalizó el envío del pedido,restaurante,30
136,Se empezó a elaborar el pedido,restaurante,55
136,Comenzó el envio del pedido,almacen,53
137,Finalizó el envío del pedido,restaurante,36
137,Finalizó el envío del pedido,restaurante,31
138,Finalizó el envío del pedido,restaurante,37
139,Entró el pedido al sistema,restaurante,56
139,Finalizó el envío del pedido,restaurante,39
139,Finalizó el envío del pedido,restaurante,26
140,Se empezó a elaborar el pedido,restaurante,56
141,Se Termino de elaborar el pedido,restaurante,42
141,Entró el pedido al sistema,almacen,57
141,Se Termino de elaborar el pedido,restaurante,52
141,Entró el pedido al sistema,restaurante,58
142,Se empezó a elaborar el pedido,restaurante,58
142,Se empezó a elaborar el pedido,almacen,57
142,Se Termino de elaborar el pedido,almacen,57
143,Entró el pedido al sistema,restaurante,59
143,Se asignó el rapartidor,almacen,54
143,Entró el pedido al sistema,restaurante,60
144,Se empezó a elaborar el pedido,restaurante,60
144,Comenzó el envio del pedido,almacen,54
146,Se Termino de elaborar el pedido,restaurante,45
146,Se empezó a elaborar el pedido,restaurante,50
146,Comenzó el envio del pedido,restaurante,45
147,Entró el pedido al sistema,restaurante,61
147,Se asignó el rapartidor,almacen,57
148,Se empezó a elaborar el pedido,restaurante,61
148,Entró el pedido al sistema,farmacia,62
148,Comenzó el envio del pedido,almacen,57
148,Finalizó el envío del pedido,restaurante,40
149,Entró el pedido al sistema,restaurante,63
149,Se empezó a elaborar el pedido,farmacia,62
149,Se Termino de elaborar el pedido,farmacia,62
151,Entró el pedido al sistema,restaurante,64
151,Se Termino de elaborar el pedido,restaurante,43
151,Se asignó el rapartidor,restaurante,42
151,Comenzó el envio del pedido,restaurante,43
151,Entró el pedido al sistema,restaurante,65
151,Finalizó el envío del pedido,almacen,53
151,Entró el pedido al sistema,restaurante,66
152,Se empezó a elaborar el pedido,restaurante,66
152,Comenzó el envio del pedido,restaurante,42
152,Se empezó a elaborar el pedido,restaurante,64
152,Se asignó el rapartidor,farmacia,62
153,Comenzó el envio del pedido,farmacia,62
153,Se asignó el rapartidor,restaurante,50
154,Se asignó el rapartidor,restaurante,52
155,Comenzó el envio del pedido,restaurante,52
155,Se asignó el rapartidor,restaurante,46
155,Finalizó el envío del pedido,almacen,57
156,Entró el pedido al sistema,restaurante,67
156,Comenzó el envio del pedido,restaurante,46
157,Se empezó a elaborar el pedido,restaurante,67
157,Entró el pedido al sistema,restaurante,68
158,Se Termino de elaborar el pedido,restaurante,41
158,Finalizó el envío del pedido,restaurante,45
158,Finalizó el envío del pedido,almacen,54
158,Se empezó a elaborar el pedido,restaurante,49
158,Comenzó el envio del pedido,restaurante,41
160,Se Termino de elaborar el pedido,restaurante,56
160,Finalizó el envío del pedido,restaurante,43
162,Entró el pedido al sistema,restaurante,69
163,Se empezó a elaborar el pedido,restaurante,69
164,Se Termino de elaborar el pedido,restaurante,34
164,Se asignó el rapartidor,restaurante,48
164,Se empezó a elaborar el pedido,restaurante,59
164,Comenzó el envio del pedido,restaurante,34
165,Entró el pedido al sistema,restaurante,70
165,Comenzó el envio del pedido,restaurante,48
166,Se Termino de elaborar el pedido,restaurante,51
167,Entró el pedido al sistema,restaurante,71
167,Se Termino de elaborar el pedido,restaurante,55
167,Finalizó el envío del pedido,restaurante,42
167,Se empezó a elaborar el pedido,restaurante,63
167,Entró el pedido al sistema,restaurante,72
168,Entró el pedido al sistema,restaurante,73
168,Se Termino de elaborar el pedido,restaurante,66
168,Se empezó a elaborar el pedido,restaurante,72
168,Se empezó a elaborar el pedido,restaurante,71
168,Se asignó el rapartidor,restaurante,65
168,Finalizó el envío del pedido,restaurante,52
169,Se asignó el rapartidor,restaurante,60
170,Entró el pedido al sistema,restaurante,74
170,Se Termino de elaborar el pedido,restaurante,67
170,Finalizó el envío del pedido,farmacia,62
171,Se empezó a elaborar el pedido,restaurante,74
171,Se asignó el rapartidor,restaurante,51
172,Comenzó el envio del pedido,restaurante,51
172,Se asignó el rapartidor,restaurante,59
173,Se Termino de elaborar el pedido,restaurante,44
173,Se Termino de elaborar el pedido,restaurante,50
173,Comenzó el envio del pedido,restaurante,50
173,Comenzó el envio del pedido,restaurante,44
174,Se asignó el rapartidor,restaurante,66
174,Finalizó el envío del pedido,restaurante,46
175,Entró el pedido al sistema,restaurante,75
175,Comenzó el envio del pedido,restaurante,66
176,Finalizó el envío del pedido,restaurante,41
178,Entró el pedido al sistema,restaurante,76
178,Se Termino de elaborar el pedido,restaurante,61
178,Se Termino de elaborar el pedido,restaurante,60
178,Se empezó a elaborar el pedido,restaurante,68
178,Se empezó a elaborar el pedido,restaurante,65
178,Comenzó el envio del pedido,restaurante,60
179,Entró el pedido al sistema,farmacia,77
179,Se Termino de elaborar el pedido,restaurante,72
179,Se Termino de elaborar el pedido,restaurante,58
179,Finalizó el envío del pedido,restaurante,50
180,Se empezó a elaborar el pedido,farmacia,77
180,Finalizó el envío del pedido,restaurante,34
180,Finalizó el envío del pedido,restaurante,44
180,Se Termino de elaborar el pedido,farmacia,77
181,Finalizó el envío del pedido,restaurante,66
181,Finalizó el envío del pedido,restaurante,48
182,Entró el pedido al sistema,restaurante,78
182,Entró el pedido al sistema,restaurante,79
183,Entró el pedido al sistema,farmacia,80
183,Se Termino de elaborar el pedido,restaurante,64
183,Se asignó el rapartidor,restaurante,55
183,Se empezó a elaborar el pedido,restaurante,75
184,Se empezó a elaborar el pedido,farmacia,80
184,Comenzó el envio del pedido,restaurante,55
184,Se asignó el rapartidor,farmacia,77
184,Se Termino de elaborar el pedido,farmacia,80
185,Entró el pedido al sistema,restaurante,81
185,Comenzó el envio del pedido,farmacia,77
186,Se Termino de elaborar el pedido,restaurante,69
186,Se asignó el rapartidor,farmacia,80
186,Se empezó a elaborar el pedido,restaurante,73
187,Comenzó el envio del pedido,farmacia,80
188,Entró el pedido al sistema,restaurante,82
188,Se Termino de elaborar el pedido,restaurante,59
188,Se Termino de elaborar el pedido,restaurante,65
188,Se asignó el rapartidor,restaurante,68
188,Se empezó a elaborar el pedido,restaurante,76
188,Se empezó a elaborar el pedido,restaurante,70
188,Finalizó el envío del pedido,restaurante,51
188,Comenzó el envio del pedido,restaurante,59
188,Comenzó el envio del pedido,restaurante,65
189,Se empezó a elaborar el pedido,restaurante,82
189,Comenzó el envio del pedido,restaurante,61
189,Se Termino de elaborar el pedido,restaurante,63
189,Se asignó el rapartidor,restaurante,73
189,Se empezó a elaborar el pedido,restaurante,78
190,Entró el pedido al sistema,restaurante,83
190,Comenzó el envio del pedido,restaurante,69
190,Se asignó el rapartidor,restaurante,69
191,Entró el pedido al sistema,restaurante,84
191,Se empezó a elaborar el pedido,restaurante,83
191,Finalizó el envío del pedido,restaurante,60
191,Finalizó el envío del pedido,farmacia,77
192,Se Termino de elaborar el pedido,restaurante,74
192,Se empezó a elaborar el pedido,restaurante,84
193,Se Termino de elaborar el pedido,restaurante,49
193,Finalizó el envío del pedido,restaurante,55
193,Comenzó el envio del pedido,restaurante,49
194,Entró el pedido al sistema,restaurante,85
194,Se asignó el rapartidor,restaurante,58
195,Entró el pedido al sistema,restaurante,86
195,Comenzó el envio del pedido,restaurante,58
195,Se asignó el rapartidor,restaurante,72
196,Se empezó a elaborar el pedido,restaurante,86
196,Comenzó el envio del pedido,restaurante,72
197,Se Termino de elaborar el pedido,restaurante,71
197,Se asignó el rapartidor,restaurante,70
197,Se empezó a elaborar el pedido,restaurante,81
198,Entró el pedido al sistema,restaurante,87
198,Se Termino de elaborar el pedido,restaurante,68
198,Finalizó el envío del pedido,restaurante,69
199,Se asignó el rapartidor,restaurante,75
200,Comenzó el envio del pedido,restaurante,64
200,Se asignó el rapartidor,restaurante,76
201,Finalizó el envío del pedido,restaurante,49
202,Finalizó el envío del pedido,restaurante,65
203,Entró el pedido al sistema,restaurante,88
203,Se Termino de elaborar el pedido,restaurante,82
203,Entró el pedido al sistema,restaurante,89
204,Se Termino de elaborar el pedido,restaurante,78
204,Se empezó a elaborar el pedido,restaurante,89
204,Se asignó el rapartidor,restaurante,61
204,Se empezó a elaborar el pedido,restaurante,87
205,Comenzó el envio del pedido,restaurante,68
205,Se asignó el rapartidor,restaurante,81
205,Finalizó el envío del pedido,farmacia,80
205,Finalizó el envío del pedido,restaurante,59
205,Finalizó el envío del pedido,restaurante,61
206,Entró el pedido al sistema,restaurante,90
206,Comenzó el envio del pedido,restaurante,56
206,Se asignó el rapartidor,restaurante,67
206,Finalizó el envío del pedido,restaurante,58
207,Se Termino de elaborar el pedido,restaurante,81
207,Se empezó a elaborar el pedido,restaurante,90
207,Se Termino de elaborar el pedido,restaurante,73
207,Comenzó el envio del pedido,restaurante,67
207,Comenzó el envio del pedido,restaurante,73
208,Se asignó el rapartidor,restaurante,64
208,Finalizó el envío del pedido,restaurante,72
210,Se asignó el rapartidor,restaurante,63
211,Entró el pedido al sistema,restaurante,91
211,Comenzó el envio del pedido,restaurante,63
212,Se empezó a elaborar el pedido,restaurante,91
212,Finalizó el envío del pedido,restaurante,64
213,Finalizó el envío del pedido,restaurante,73
214,Entró el pedido al sistema,almacen,92
214,Se Termino de elaborar el pedido,restaurante,84
215,Se empezó a elaborar el pedido,almacen,92
215,Entró el pedido al sistema,restaurante,93
215,Se Termino de elaborar el pedido,almacen,92
217,Se asignó el rapartidor,restaurante,56
217,Se Termino de elaborar el pedido,restaurante,75
217,Se empezó a elaborar el pedido,restaurante,79
217,Comenzó el envio del pedido,restaurante,75
218,Comenzó el envio del pedido,restaurante,71
219,Se Termino de elaborar el pedido,restaurante,89
219,Se Termino de elaborar el pedido,restaurante,90
219,Se asignó el rapartidor,restaurante,79
220,Entró el pedido al sistema,restaurante,94
220,Se asignó el rapartidor,restaurante,71
220,Finalizó el envío del pedido,restaurante,56
221,Comenzó el envio del pedido,restaurante,81
222,Se asignó el rapartidor,almacen,92
223,Comenzó el envio del pedido,almacen,92
223,Se asignó el rapartidor,restaurante,84
223,Finalizó el envío del pedido,restaurante,75
224,Se asignó el rapartidor,restaurante,74
224,Comenzó el envio del pedido,restaurante,84
224,Finalizó el envío del pedido,restaurante,68
225,Entró el pedido al sistema,restaurante,95
225,Comenzó el envio del pedido,restaurante,74
225,Se Termino de elaborar el pedido,restaurante,70
225,Se asignó el rapartidor,restaurante,87
225,Comenzó el envio del pedido,restaurante,70
225,Finalizó el envío del pedido,restaurante,63
226,Se empezó a elaborar el pedido,restaurante,95
226,Comenzó el envio del pedido,restaurante,78
226,Se asignó el rapartidor,restaurante,85
226,Finalizó el envío del pedido,restaurante,67
227,Se Termino de elaborar el pedido,restaurante,86
227,Se empezó a elaborar el pedido,restaurante,88
228,Entró el pedido al sistema,restaurante,96
229,Se empezó a elaborar el pedido,restaurante,96
229,Se Termino de elaborar el pedido,restaurante,76
229,Comenzó el envio del pedido,restaurante,76
230,Entró el pedido al sistema,farmacia,97
230,Se asignó el rapartidor,restaurante,78
230,Entró el pedido al sistema,farmacia,98
231,Se empezó a elaborar el pedido,farmacia,97
231,Se Termino de elaborar el pedido,farmacia,97
232,Entró el pedido al sistema,restaurante,99
232,Se empezó a elaborar el pedido,farmacia,98
232,Se Termino de elaborar el pedido,farmacia,98
233,Se empezó a elaborar el pedido,restaurante,99
233,Finalizó el envío del pedido,restaurante,71
233,Finalizó el envío del pedido,restaurante,81
234,Finalizó el envío del pedido,almacen,92
235,Entró el pedido al sistema,restaurante,100
235,Finalizó el envío del pedido,restaurante,84
236,Se Termino de elaborar el pedido,restaurante,83
236,Se empezó a elaborar el pedido,restaurante,100
236,Se asignó el rapartidor,farmacia,97
236,Se empezó a elaborar el pedido,restaurante,85
236,Comenzó el envio del pedido,restaurante,83
237,Comenzó el envio del pedido,farmacia,97
238,Finalizó el envío del pedido,restaurante,76
240,Entró el pedido al sistema,almacen,101
240,Finalizó el envío del pedido,restaurante,74
241,Se empezó a elaborar el pedido,almacen,101
241,Se Termino de elaborar el pedido,restaurante,87
241,Se asignó el rapartidor,farmacia,98
241,Comenzó el envio del pedido,restaurante,87
241,Se Termino de elaborar el pedido,almacen,101
242,Comenzó el envio del pedido,farmacia,98
243,Entró el pedido al sistema,restaurante,102
243,Se Termino de elaborar el pedido,restaurante,99
243,Finalizó el envío del pedido,restaurante,78
243,Entró el pedido al sistema,restaurante,103
244,Se empezó a elaborar el pedido,restaurante,103
244,Finalizó el envío del pedido,restaurante,70
245,Se asignó el rapartidor,restaurante,90
246,Comenzó el envio del pedido,restaurante,90
247,Se asignó el rapartidor,restaurante,88
247,Finalizó el envío del pedido,farmacia,97
248,Entró el pedido al sistema,restaurante,104
248,Comenzó el envio del pedido,restaurante,86
248,Se asignó el rapartidor,restaurante,94
248,Entró el pedido al sistema,almacen,105
249,Entró el pedido al sistema,restaurante,106
249,Se empezó a elaborar el pedido,almacen,105
249,Se empezó a elaborar el pedido,restaurante,104
249,Se asignó el rapartidor,restaurante,83
249,Se Termino de elaborar el pedido,almacen,105
250,Se empezó a elaborar el pedido,restaurante,106
250,Se Termino de elaborar el pedido,restaurante,79
250,Se Termino de elaborar el pedido,restaurante,85
250,Se asignó el rapartidor,restaurante,86
250,Se empezó a elaborar el pedido,restaurante,93
250,Se empezó a elaborar el pedido,restaurante,102
250,Finalizó el envío del pedido,restaurante,87
250,Comenzó el envio del pedido,restaurante,85
250,Comenzó el envio del pedido,restaurante,79
251,Entró el pedido al sistema,restaurante,107
251,Se Termino de elaborar el pedido,restaurante,91
251,Se asignó el rapartidor,almacen,101
251,Entró el pedido al sistema,restaurante,108
251,Se empezó a elaborar el pedido,restaurante,94
251,Comenzó el envio del pedido,restaurante,91
252,Comenzó el envio del pedido,almacen,101
252,Se empezó a elaborar el pedido,restaurante,107
252,Se asignó el rapartidor,restaurante,93
253,Entró el pedido al sistema,restaurante,109
253,Se Termino de elaborar el pedido,restaurante,95
253,Entró el pedido al sistema,restaurante,110
254,Se empezó a elaborar el pedido,restaurante,109
254,Se empezó a elaborar el pedido,restaurante,110
254,Finalizó el envío del pedido,restaurante,83
255,Entró el pedido al sistema,restaurante,111
256,Se empezó a elaborar el pedido,restaurante,111
256,Se Termino de elaborar el pedido,restaurante,100
256,Finalizó el envío del pedido,restaurante,90
256,Finalizó el envío del pedido,almacen,101
257,Se asignó el rapartidor,restaurante,89
258,Comenzó el envio del pedido,restaurante,89
259,Se Termino de elaborar el pedido,restaurante,103
259,Entró el pedido al sistema,restaurante,112
259,Se asignó el rapartidor,almacen,105
260,Entró el pedido al sistema,restaurante,113
260,Se Termino de elaborar el pedido,restaurante,102
260,Comenzó el envio del pedido,almacen,105
260,Finalizó el envío del pedido,farmacia,98
260,Se empezó a elaborar el pedido,restaurante,108
261,Se empezó a elaborar el pedido,restaurante,113
261,Se asignó el rapartidor,restaurante,95
262,Comenzó el envio del pedido,restaurante,95
262,Se asignó el rapartidor,restaurante,82
263,Comenzó el envio del pedido,restaurante,82
263,Se asignó el rapartidor,restaurante,99
263,Finalizó el envío del pedido,restaurante,79
263,Finalizó el envío del pedido,restaurante,86
264,Entró el pedido al sistema,restaurante,114
264,Comenzó el envio del pedido,restaurante,99
265,Se Termino de elaborar el pedido,restaurante,88
265,Se empezó a elaborar el pedido,restaurante,114
265,Se asignó el rapartidor,restaurante,100
265,Comenzó el envio del pedido,restaurante,88
266,Entró el pedido al sistema,restaurante,115
266,Comenzó el envio del pedido,restaurante,100
266,Finalizó el envío del pedido,restaurante,85
267,Se Termino de elaborar el pedido,restaurante,93
