Tick,Evento,ID Repartidor
94,Se asignó el rapartidor,8
94,Comenzó el envio del pedido,13
94,El repartidor vuelve a estar listo,2
94,El repartidor vuelve a estar listo,3
95,Comenzó el envio del pedido,8
95,Se asignó el rapartidor,2
95,El repartidor vuelve a estar listo,4
96,Se asignó el rapartidor,3
96,Finalizó el envío del pedido,12
97,Se asignó el rapartidor,4
98,Comenzó el envio del pedido,4
100,Finalizó el envío del pedido,11
101,Finalizó el envío del pedido,13
102,El repartidor vuelve a estar listo,6
103,Se asignó el rapartidor,6
104,El repartidor vuelve a estar listo,14
104,Finalizó el envío del pedido,1
104,Finalizó el envío del pedido,8
105,Se asignó el rapartidor,14
105,El repartidor vuelve a estar listo,15
106,Se asignó el rapartidor,15
106,Finalizó el envío del pedido,7
109,El repartidor vuelve a estar listo,13
110,Se asignó el rapartidor,13
110,Comenzó el envio del pedido,5
110,El repartidor vuelve a estar listo,11
111,Se asignó el rapartidor,11
112,Comenzó el envio del pedido,2
113,Finalizó el envío del pedido,4
114,El repartidor vuelve a estar listo,8
115,Se asignó el rapartidor,8
115,El repartidor vuelve a estar listo,12
116,Se asignó el rapartidor,12
117,Finalizó el envío del pedido,5
119,El repartidor vuelve a estar listo,1
120,Se asignó el rapartidor,1
120,Comenzó el envio del pedido,6
123,Comenzó el envio del pedido,11
124,Comenzó el envio del pedido,13
124,Comenzó el envio del pedido,14
125,El repartidor vuelve a estar listo,5
126,Se asignó el rapartidor,5
126,El repartidor vuelve a estar listo,7
126,Comenzó el envio del pedido,10
127,Se asignó el rapartidor,7
127,Finalizó el envío del pedido,2
128,El repartidor vuelve a estar listo,4
128,Comenzó el envio del pedido,9
128,Comenzó el envio del pedido,15
128,Comenzó el envio del pedido,5
129,Se asignó el rapartidor,4
129,Finalizó el envío del pedido,13
134,El repartidor vuelve a estar listo,13
135,Se asignó el rapartidor,13
135,Finalizó el envío del pedido,6
136,Comenzó el envio del pedido,13
137,Finalizó el envío del pedido,14
137,Finalizó el envío del pedido,9
138,Finalizó el envío del pedido,11
139,Finalizó el envío del pedido,10
139,Finalizó el envío del pedido,15
142,El repartidor vuelve a estar listo,2
143,Se asignó el rapartidor,2
144,Comenzó el envio del pedido,2
146,El repartidor vuelve a estar listo,9
146,Comenzó el envio del pedido,1
147,Se asignó el rapartidor,9
148,Comenzó el envio del pedido,9
148,Finalizó el envío del pedido,5
150,El repartidor vuelve a estar listo,14
150,El repartidor vuelve a estar listo,15
151,Se asignó el rapartidor,15
151,Comenzó el envio del pedido,8
151,El repartidor vuelve a estar listo,6
151,Finalizó el envío del pedido,13
152,Comenzó el envio del pedido,15
152,Se asignó el rapartidor,14
152,El repartidor vuelve a estar listo,10
153,Comenzó el envio del pedido,14
153,Se asignó el rapartidor,6
153,El repartidor vuelve a estar listo,11
154,Se asignó el rapartidor,10
155,Comenzó el envio del pedido,10
155,Se asignó el rapartidor,11
155,Finalizó el envío del pedido,9
156,Comenzó el envio del pedido,11
158,Finalizó el envío del pedido,2
158,Finalizó el envío del pedido,1
158,Comenzó el envio del pedido,7
160,Finalizó el envío del pedido,8
163,El repartidor vuelve a estar listo,9
164,Se asignó el rapartidor,9
164,Comenzó el envio del pedido,3
165,Comenzó el envio del pedido,9
167,El repartidor vuelve a estar listo,13
167,Finalizó el envío del pedido,15
168,Se asignó el rapartidor,13
168,El repartidor vuelve a estar listo,5
168,Finalizó el envío del pedido,10
169,Se asignó el rapartidor,5
170,El repartidor vuelve a estar listo,1
170,El repartidor vuelve a estar listo,8
170,Finalizó el envío del pedido,14
171,Se asignó el rapartidor,1
172,Comenzó el envio del pedido,1
172,Se asignó el rapartidor,8
173,El repartidor vuelve a estar listo,2
173,Comenzó el envio del pedido,6
173,Comenzó el envio del pedido,12
174,Se asignó el rapartidor,2
174,Finalizó el envío del pedido,11
175,Comenzó el envio del pedido,2
176,Finalizó el envío del pedido,7
178,Comenzó el envio del pedido,13
179,Finalizó el envío del pedido,6
180,Finalizó el envío del pedido,3
180,Finalizó el envío del pedido,12
181,Finalizó el envío del pedido,9
181,Finalizó el envío del pedido,2
182,El repartidor vuelve a estar listo,10
183,Se asignó el rapartidor,10
183,El repartidor vuelve a estar listo,15
184,Comenzó el envio del pedido,10
184,Se asignó el rapartidor,15
185,El repartidor vuelve a estar listo,6
185,Comenzó el envio del pedido,15
186,Se asignó el rapartidor,6
187,El repartidor vuelve a estar listo,12
187,Comenzó el envio del pedido,6
188,Se asignó el rapartidor,12
188,El repartidor vuelve a estar listo,14
188,El repartidor vuelve a estar listo,2
188,Finalizó el envío del pedido,1
188,Comenzó el envio del pedido,8
188,Comenzó el envio del pedido,5
189,Comenzó el envio del pedido,12
189,Se asignó el rapartidor,2
190,Comenzó el envio del pedido,2
190,Se asignó el rapartidor,14
191,Finalizó el envío del pedido,15
191,Finalizó el envío del pedido,13
193,El repartidor vuelve a estar listo,11
193,Finalizó el envío del pedido,10
193,Comenzó el envio del pedido,4
194,Se asignó el rapartidor,11
194,El repartidor vuelve a estar listo,7
195,Comenzó el envio del pedido,11
195,Se asignó el rapartidor,7
196,Comenzó el envio del pedido,7
196,El repartidor vuelve a estar listo,3
197,Se asignó el rapartidor,3
198,El repartidor vuelve a estar listo,9
198,El repartidor vuelve a estar listo,15
198,Finalizó el envío del pedido,2
199,Se asignó el rapartidor,9
200,Comenzó el envio del pedido,9
200,Se asignó el rapartidor,15
201,Finalizó el envío del pedido,4
202,Finalizó el envío del pedido,5
203,El repartidor vuelve a estar listo,10
204,Se asignó el rapartidor,10
204,El repartidor vuelve a estar listo,13
205,Comenzó el envio del pedido,10
205,Se asignó el rapartidor,13
205,El repartidor vuelve a estar listo,1
205,Finalizó el envío del pedido,8
205,Finalizó el envío del pedido,12
205,Finalizó el envío del pedido,6
206,Comenzó el envio del pedido,13
206,Se asignó el rapartidor,1
206,Finalizó el envío del pedido,11
207,El repartidor vuelve a estar listo,2
207,Comenzó el envio del pedido,1
207,Comenzó el envio del pedido,14
208,Se asignó el rapartidor,2
208,Finalizó el envío del pedido,7
209,El repartidor vuelve a estar listo,4
210,Se asignó el rapartidor,4
211,Comenzó el envio del pedido,4
212,Finalizó el envío del pedido,9
213,Finalizó el envío del pedido,14
216,El repartidor vuelve a estar listo,5
217,Se asignó el rapartidor,5
217,Comenzó el envio del pedido,2
218,El repartidor vuelve a estar listo,11
218,Comenzó el envio del pedido,5
219,Se asignó el rapartidor,11
219,El repartidor vuelve a estar listo,14
220,Se asignó el rapartidor,14
220,Finalizó el envío del pedido,13
221,El repartidor vuelve a estar listo,7
221,Comenzó el envio del pedido,14
222,Se asignó el rapartidor,7
222,El repartidor vuelve a estar listo,8
222,El repartidor vuelve a estar listo,12
223,Comenzó el envio del pedido,7
223,Se asignó el rapartidor,12
223,Finalizó el envío del pedido,2
224,Se asignó el rapartidor,8
224,El repartidor vuelve a estar listo,6
224,Comenzó el envio del pedido,12
224,Finalizó el envío del pedido,10
225,Comenzó el envio del pedido,8
225,Se asignó el rapartidor,6
225,Comenzó el envio del pedido,3
225,El repartidor vuelve a estar listo,9
225,Finalizó el envío del pedido,4
226,Comenzó el envio del pedido,6
226,Se asignó el rapartidor,9
226,Finalizó el envío del pedido,1
229,El repartidor vuelve a estar listo,2
229,Comenzó el envio del pedido,15
230,Se asignó el rapartidor,2
233,Finalizó el envío del pedido,5
233,Finalizó el envío del pedido,14
234,Finalizó el envío del pedido,7
235,El repartidor vuelve a estar listo,13
235,Finalizó el envío del pedido,12
236,Se asignó el rapartidor,13
236,Comenzó el envio del pedido,9
237,Comenzó el envio del pedido,13
238,Finalizó el envío del pedido,15
240,El repartidor vuelve a estar listo,4
240,Finalizó el envío del pedido,8
241,Se asignó el rapartidor,4
241,Comenzó el envio del pedido,2
242,Comenzó el envio del pedido,4
243,Finalizó el envío del pedido,6
244,El repartidor vuelve a estar listo,10
244,Finalizó el envío del pedido,3
245,Se asignó el rapartidor,10
246,Comenzó el envio del pedido,10
246,El repartidor vuelve a estar listo,1
246,El repartidor vuelve a estar listo,7
246,El repartidor vuelve a estar listo,14
247,Se asignó el rapartidor,14
247,El repartidor vuelve a estar listo,15
247,El repartidor vuelve a estar listo,12
247,Finalizó el envío del pedido,13
248,Comenzó el envio del pedido,14
248,Se asignó el rapartidor,7
249,Se asignó el rapartidor,1
249,El repartidor vuelve a estar listo,5
250,Se asignó el rapartidor,12
250,Finalizó el envío del pedido,2
250,Comenzó el envio del pedido,1
250,Comenzó el envio del pedido,11
251,Se asignó el rapartidor,15
251,Comenzó el envio del pedido,7
252,Comenzó el envio del pedido,15
252,Se asignó el rapartidor,5
254,Finalizó el envío del pedido,9
256,El repartidor vuelve a estar listo,8
256,Finalizó el envío del pedido,10
256,Finalizó el envío del pedido,15
257,Se asignó el rapartidor,8
258,Comenzó el envio del pedido,8
258,El repartidor vuelve a estar listo,13
259,Se asignó el rapartidor,13
260,El repartidor vuelve a estar listo,2
260,Comenzó el envio del pedido,13
260,Finalizó el envío del pedido,4
261,Se asignó el rapartidor,2
261,El repartidor vuelve a estar listo,6
261,El repartidor vuelve a estar listo,15
262,Comenzó el envio del pedido,2
262,Se asignó el rapartidor,6
263,Comenzó el envio del pedido,6
263,Se asignó el rapartidor,15
263,Finalizó el envío del pedido,14
263,Finalizó el envío del pedido,11
264,El repartidor vuelve a estar listo,3
264,Comenzó el envio del pedido,15
265,Se asignó el rapartidor,3
265,Comenzó el envio del pedido,12
266,Comenzó el envio del pedido,3
266,Finalizó el envío del pedido,1
267,El repartidor vuelve a estar listo,10
267,Finalizó el envío del pedido,7
267,Finalizó el envío del pedido,8
267,Comenzó el envio del pedido,5
268,Se asignó el rapartidor,10
269,Comenzó el envio del pedido,10
272,El repartidor vuelve a estar listo,9
272,Finalizó el envío del pedido,15
272,Finalizó el envío del pedido,2
273,Se asignó el rapartidor,9
273,Finalizó el envío del pedido,10
273,Finalizó el envío del pedido,3
274,Finalizó el envío del pedido,12
274,Comenzó el envio del pedido,9
276,El repartidor vuelve a estar listo,11
276,Finalizó el envío del pedido,13
277,Se asignó el rapartidor,11
277,El repartidor vuelve a estar listo,8
278,Se asignó el rapartidor,8
278,El repartidor vuelve a estar listo,10
278,Finalizó el envío del pedido,6
279,Se asignó el rapartidor,10
279,Comenzó el envio del pedido,11
279,El repartidor vuelve a estar listo,4
279,El repartidor vuelve a estar listo,14
280,Comenzó el envio del pedido,10
280,Se asignó el rapartidor,14
281,Se asignó el rapartidor,4
281,El repartidor vuelve a estar listo,3
281,El repartidor vuelve a estar listo,15
282,Se asignó el rapartidor,15
282,El repartidor vuelve a estar listo,1
283,Se asignó el rapartidor,3
283,El repartidor vuelve a estar listo,7
283,El repartidor vuelve a estar listo,2
283,Finalizó el envío del pedido,5
284,Se asignó el rapartidor,1
284,El repartidor vuelve a estar listo,12
285,Comenzó el envio del pedido,1
285,Se asignó el rapartidor,2
286,Se asignó el rapartidor,7
286,Finalizó el envío del pedido,9
287,Se asignó el rapartidor,12
287,Comenzó el envio del pedido,7
289,Finalizó el envío del pedido,11
291,Comenzó el envio del pedido,8
292,Comenzó el envio del pedido,4
293,El repartidor vuelve a estar listo,13
294,Se asignó el rapartidor,13
294,El repartidor vuelve a estar listo,6
295,Comenzó el envio del pedido,13
295,Se asignó el rapartidor,6
295,Comenzó el envio del pedido,2
296,Comenzó el envio del pedido,6
296,Comenzó el envio del pedido,12
296,Comenzó el envio del pedido,14
297,Finalizó el envío del pedido,10
297,Finalizó el envío del pedido,8
298,Finalizó el envío del pedido,7
299,El repartidor vuelve a estar listo,5
299,El repartidor vuelve a estar listo,9
299,Finalizó el envío del pedido,1
300,Se asignó el rapartidor,5
300,El repartidor vuelve a estar listo,11
301,Comenzó el envio del pedido,5
301,Se asignó el rapartidor,9
301,Finalizó el envío del pedido,4
302,Se asignó el rapartidor,11
302,Comenzó el envio del pedido,3
302,Finalizó el envío del pedido,2
303,El repartidor vuelve a estar listo,8
303,Comenzó el envio del pedido,11
304,Se asignó el rapartidor,8
305,Finalizó el envío del pedido,12
306,Finalizó el envío del pedido,3
308,Finalizó el envío del pedido,14
310,El repartidor vuelve a estar listo,7
310,El repartidor vuelve a estar listo,4
310,El repartidor vuelve a estar listo,2
310,Finalizó el envío del pedido,13
311,Se asignó el rapartidor,7
311,El repartidor vuelve a estar listo,3
311,Comenzó el envio del pedido,8
312,Se asignó el rapartidor,2
312,Comenzó el envio del pedido,7
312,Comenzó el envio del pedido,2
313,Se asignó el rapartidor,4
313,Finalizó el envío del pedido,11
314,Se asignó el rapartidor,3
314,Comenzó el envio del pedido,15
314,El repartidor vuelve a estar listo,1
314,El repartidor vuelve a estar listo,12
315,Se asignó el rapartidor,1
315,El repartidor vuelve a estar listo,10
315,Finalizó el envío del pedido,6
315,Finalizó el envío del pedido,5
316,Se asignó el rapartidor,12
317,Se asignó el rapartidor,10
317,Comenzó el envio del pedido,12
318,Finalizó el envío del pedido,15
318,Finalizó el envío del pedido,2
320,El repartidor vuelve a estar listo,14
321,Se asignó el rapartidor,14
323,El repartidor vuelve a estar listo,15
324,Se asignó el rapartidor,15
324,El repartidor vuelve a estar listo,11
325,Se asignó el rapartidor,11
325,Comenzó el envio del pedido,15
325,El repartidor vuelve a estar listo,2
326,Se asignó el rapartidor,2
326,Comenzó el envio del pedido,11
326,El repartidor vuelve a estar listo,13
327,Se asignó el rapartidor,13
329,Finalizó el envío del pedido,7
329,Comenzó el envio del pedido,14
329,Comenzó el envio del pedido,13
329,Comenzó el envio del pedido,3
330,El repartidor vuelve a estar listo,5
330,Finalizó el envío del pedido,8
331,Se asignó el rapartidor,5
331,Comenzó el envio del pedido,9
332,Comenzó el envio del pedido,5
333,Finalizó el envío del pedido,12
334,Comenzó el envio del pedido,4
335,El repartidor vuelve a estar listo,6
336,Se asignó el rapartidor,6
336,Comenzó el envio del pedido,10
336,Finalizó el envío del pedido,14
337,Finalizó el envío del pedido,3
339,Comenzó el envio del pedido,6
341,Finalizó el envío del pedido,4
341,Finalizó el envío del pedido,10
342,Finalizó el envío del pedido,11
343,El repartidor vuelve a estar listo,14
343,Finalizó el envío del pedido,15
344,Se asignó el rapartidor,14
345,El repartidor vuelve a estar listo,3
345,Comenzó el envio del pedido,2
346,Se asignó el rapartidor,3
346,Finalizó el envío del pedido,5
347,Comenzó el envio del pedido,3
347,El repartidor vuelve a estar listo,7
347,El repartidor vuelve a estar listo,10
348,Se asignó el rapartidor,7
348,El repartidor vuelve a estar listo,4
348,Finalizó el envío del pedido,13
349,Comenzó el envio del pedido,7
349,Se asignó el rapartidor,10
349,El repartidor vuelve a estar listo,8
349,Finalizó el envío del pedido,9
350,Comenzó el envio del pedido,10
350,Se asignó el rapartidor,4
350,El repartidor vuelve a estar listo,12
351,Se asignó el rapartidor,8
352,Se asignó el rapartidor,12
358,Finalizó el envío del pedido,6
359,El repartidor vuelve a estar listo,11
359,Finalizó el envío del pedido,2
360,Se asignó el rapartidor,11
361,El repartidor vuelve a estar listo,5
361,Comenzó el envio del pedido,11
361,Comenzó el envio del pedido,1
362,Se asignó el rapartidor,5
362,El repartidor vuelve a estar listo,15
362,Finalizó el envío del pedido,3
363,Se asignó el rapartidor,15
363,Comenzó el envio del pedido,8
364,Finalizó el envío del pedido,7
367,El repartidor vuelve a estar listo,13
368,Se asignó el rapartidor,13
368,El repartidor vuelve a estar listo,9
368,Finalizó el envío del pedido,10
369,Comenzó el envio del pedido,13
369,Se asignó el rapartidor,9
369,Finalizó el envío del pedido,8
370,Comenzó el envio del pedido,9
371,Finalizó el envío del pedido,11
373,El repartidor vuelve a estar listo,2
373,Finalizó el envío del pedido,1
373,Finalizó el envío del pedido,13
374,Se asignó el rapartidor,2
374,Comenzó el envio del pedido,12
375,Comenzó el envio del pedido,2
376,El repartidor vuelve a estar listo,8
377,Se asignó el rapartidor,8
377,El repartidor vuelve a estar listo,6
378,Comenzó el envio del pedido,8
378,Se asignó el rapartidor,6
378,El repartidor vuelve a estar listo,3
378,El repartidor vuelve a estar listo,13
379,Se asignó el rapartidor,3
379,Comenzó el envio del pedido,6
380,Se asignó el rapartidor,13
380,Comenzó el envio del pedido,3
380,Comenzó el envio del pedido,5
380,El repartidor vuelve a estar listo,7
381,Se asignó el rapartidor,7
382,El repartidor vuelve a estar listo,11
382,Finalizó el envío del pedido,2
383,Se asignó el rapartidor,11
383,Comenzó el envio del pedido,14
384,Comenzó el envio del pedido,11
385,El repartidor vuelve a estar listo,1
385,Finalizó el envío del pedido,9
386,Se asignó el rapartidor,1
387,Comenzó el envio del pedido,1
387,El repartidor vuelve a estar listo,10
388,Se asignó el rapartidor,10
389,Comenzó el envio del pedido,10
389,Finalizó el envío del pedido,3
390,El repartidor vuelve a estar listo,2
391,Se asignó el rapartidor,2
391,Finalizó el envío del pedido,5
391,Finalizó el envío del pedido,14
391,Finalizó el envío del pedido,8
393,Finalizó el envío del pedido,12
393,Finalizó el envío del pedido,6
395,Finalizó el envío del pedido,1
399,El repartidor vuelve a estar listo,3
400,Se asignó el rapartidor,3
400,El repartidor vuelve a estar listo,14
401,Se asignó el rapartidor,14
401,Comenzó el envio del pedido,3
401,Comenzó el envio del pedido,7
401,El repartidor vuelve a estar listo,9
401,Finalizó el envío del pedido,10
402,Se asignó el rapartidor,9
402,Comenzó el envio del pedido,9
403,El repartidor vuelve a estar listo,5
403,Finalizó el envío del pedido,11
404,Se asignó el rapartidor,5
404,El repartidor vuelve a estar listo,1
405,Se asignó el rapartidor,1
405,Comenzó el envio del pedido,5
405,El repartidor vuelve a estar listo,8
406,Se asignó el rapartidor,8
406,Comenzó el envio del pedido,1
406,Comenzó el envio del pedido,13
407,Comenzó el envio del pedido,8
408,El repartidor vuelve a estar listo,6
409,Se asignó el rapartidor,6
412,Comenzó el envio del pedido,14
413,El repartidor vuelve a estar listo,12
414,Se asignó el rapartidor,12
414,El repartidor vuelve a estar listo,10
414,Finalizó el envío del pedido,7
415,Se asignó el rapartidor,10
415,Comenzó el envio del pedido,10
415,Comenzó el envio del pedido,4
417,Finalizó el envío del pedido,5
417,Finalizó el envío del pedido,8
418,Finalizó el envío del pedido,13
418,Finalizó el envío del pedido,9
418,Finalizó el envío del pedido,1
418,Comenzó el envio del pedido,15
419,Finalizó el envío del pedido,3
420,Finalizó el envío del pedido,14
420,Comenzó el envio del pedido,12
422,Finalizó el envío del pedido,10
423,El repartidor vuelve a estar listo,11
424,Se asignó el rapartidor,11
425,Comenzó el envio del pedido,11
425,Comenzó el envio del pedido,6
427,Finalizó el envío del pedido,4
428,El repartidor vuelve a estar listo,14
428,El repartidor vuelve a estar listo,7
428,El repartidor vuelve a estar listo,8
429,Se asignó el rapartidor,7
429,Finalizó el envío del pedido,15
430,Se asignó el rapartidor,8
430,El repartidor vuelve a estar listo,5
430,El repartidor vuelve a estar listo,13
430,El repartidor vuelve a estar listo,10
431,Se asignó el rapartidor,14
431,El repartidor vuelve a estar listo,1
431,Comenzó el envio del pedido,8
431,Finalizó el envío del pedido,12
432,Comenzó el envio del pedido,14
432,Se asignó el rapartidor,5
433,Se asignó el rapartidor,13
434,Se asignó el rapartidor,10
435,Comenzó el envio del pedido,10
435,Se asignó el rapartidor,1
435,El repartidor vuelve a estar listo,9
436,Se asignó el rapartidor,9
436,Finalizó el envío del pedido,6
437,Comenzó el envio del pedido,2
438,El repartidor vuelve a estar listo,3
438,Finalizó el envío del pedido,14
439,Se asignó el rapartidor,3
439,El repartidor vuelve a estar listo,4
440,Se asignó el rapartidor,4
440,El repartidor vuelve a estar listo,15
440,Finalizó el envío del pedido,11
441,Comenzó el envio del pedido,4
441,Se asignó el rapartidor,15
441,Finalizó el envío del pedido,10
442,El repartidor vuelve a estar listo,12
442,Comenzó el envio del pedido,15
442,Finalizó el envío del pedido,8
443,Se asignó el rapartidor,12
444,Comenzó el envio del pedido,12
444,Comenzó el envio del pedido,13
445,El repartidor vuelve a estar listo,14
446,Se asignó el rapartidor,14
447,El repartidor vuelve a estar listo,6
448,Se asignó el rapartidor,6
448,El repartidor vuelve a estar listo,10
449,Se asignó el rapartidor,10
449,Comenzó el envio del pedido,6
450,Comenzó el envio del pedido,10
451,Finalizó el envío del pedido,15
452,Comenzó el envio del pedido,7
454,El repartidor vuelve a estar listo,8
454,Finalizó el envío del pedido,2
454,Comenzó el envio del pedido,14
455,Se asignó el rapartidor,8
455,Comenzó el envio del pedido,1
456,El repartidor vuelve a estar listo,11
457,Se asignó el rapartidor,11
458,Comenzó el envio del pedido,11
458,Finalizó el envío del pedido,13
459,Finalizó el envío del pedido,14
460,Finalizó el envío del pedido,4
461,El repartidor vuelve a estar listo,15
461,Finalizó el envío del pedido,1
461,Comenzó el envio del pedido,8
462,Se asignó el rapartidor,15
462,Finalizó el envío del pedido,11
462,Finalizó el envío del pedido,12
464,El repartidor vuelve a estar listo,14
464,Finalizó el envío del pedido,6
465,Se asignó el rapartidor,14
466,Comenzó el envio del pedido,14
467,El repartidor vuelve a estar listo,1
467,El repartidor vuelve a estar listo,11
468,Se asignó el rapartidor,11
468,Finalizó el envío del pedido,10
469,Comenzó el envio del pedido,11
469,Se asignó el rapartidor,1
470,Finalizó el envío del pedido,8
470,Finalizó el envío del pedido,7
471,El repartidor vuelve a estar listo,2
472,Se asignó el rapartidor,2
472,El repartidor vuelve a estar listo,13
473,Se asignó el rapartidor,13
473,Comenzó el envio del pedido,2
474,Comenzó el envio del pedido,13
479,El repartidor vuelve a estar listo,8
480,Se asignó el rapartidor,8
480,El repartidor vuelve a estar listo,4
480,El repartidor vuelve a estar listo,6
480,Finalizó el envío del pedido,11
481,Comenzó el envio del pedido,8
481,Se asignó el rapartidor,6
481,El repartidor vuelve a estar listo,12
481,Finalizó el envío del pedido,13
482,Comenzó el envio del pedido,6
482,Se asignó el rapartidor,4
483,Se asignó el rapartidor,12
484,Comenzó el envio del pedido,12
484,Finalizó el envío del pedido,14
484,Comenzó el envio del pedido,4
487,El repartidor vuelve a estar listo,10
487,Comenzó el envio del pedido,15
488,Se asignó el rapartidor,10
488,El repartidor vuelve a estar listo,7
489,Se asignó el rapartidor,7
489,Comenzó el envio del pedido,10
489,El repartidor vuelve a estar listo,13
490,Comenzó el envio del pedido,7
490,Se asignó el rapartidor,13
490,Finalizó el envío del pedido,2
491,Comenzó el envio del pedido,13
492,El repartidor vuelve a estar listo,11
492,Comenzó el envio del pedido,5
493,Se asignó el rapartidor,11
493,Finalizó el envío del pedido,15
493,Comenzó el envio del pedido,11
494,Comenzó el envio del pedido,9
495,Finalizó el envío del pedido,8
499,El repartidor vuelve a estar listo,15
499,Finalizó el envío del pedido,6
500,Se asignó el rapartidor,15
501,Comenzó el envio del pedido,15
501,Finalizó el envío del pedido,5
501,Finalizó el envío del pedido,4
501,Finalizó el envío del pedido,7
501,Finalizó el envío del pedido,12
503,El repartidor vuelve a estar listo,14
504,Se asignó el rapartidor,14
505,Comenzó el envio del pedido,14
507,Finalizó el envío del pedido,13
507,Finalizó el envío del pedido,10
508,El repartidor vuelve a estar listo,2
509,Se asignó el rapartidor,2
510,El repartidor vuelve a estar listo,5
510,El repartidor vuelve a estar listo,8
510,Comenzó el envio del pedido,2
510,Finalizó el envío del pedido,11
511,Se asignó el rapartidor,5
511,Finalizó el envío del pedido,9
512,Comenzó el envio del pedido,5
512,Se asignó el rapartidor,8
512,Finalizó el envío del pedido,15
513,Comenzó el envio del pedido,8
514,El repartidor vuelve a estar listo,7
515,Se asignó el rapartidor,7
517,El repartidor vuelve a estar listo,6
517,Finalizó el envío del pedido,5
518,Se asignó el rapartidor,6
518,Finalizó el envío del pedido,14
519,El repartidor vuelve a estar listo,4
519,Finalizó el envío del pedido,2
520,Se asignó el rapartidor,4
520,El repartidor vuelve a estar listo,12
521,Comenzó el envio del pedido,4
521,Se asignó el rapartidor,12
521,Comenzó el envio del pedido,6
523,El repartidor vuelve a estar listo,13
523,Comenzó el envio del pedido,12
523,El repartidor vuelve a estar listo,5
524,Se asignó el rapartidor,13
524,El repartidor vuelve a estar listo,15
525,Se asignó el rapartidor,5
525,Comenzó el envio del pedido,13
526,Comenzó el envio del pedido,5
526,Se asignó el rapartidor,15
526,El repartidor vuelve a estar listo,10
526,Finalizó el envío del pedido,4
526,Finalizó el envío del pedido,8
526,Comenzó el envio del pedido,15
